,Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
0,Wii Sports,Wii,2006,Sports,76.0,8.0,6
1,Mario Kart Wii,Wii,2008,Racing,82.0,8.3,6
2,Wii Sports Resort,Wii,2009,Sports,80.0,8.0,6
3,New Super Mario Bros.,DS,2006,Platform,89.0,8.5,6
4,Wii Play,Wii,2006,Misc,58.0,6.6,6
5,New Super Mario Bros. Wii,Wii,2009,Platform,87.0,8.4,6
6,Mario Kart DS,DS,2005,Racing,91.0,8.6,6
7,Wii Fit,Wii,2007,Sports,80.0,7.7,6
8,Kinect Adventures!,X360,2010,Misc,61.0,6.3,6
9,Wii Fit Plus,Wii,2009,Sports,80.0,7.4,6
11,Grand Theft Auto: San Andreas,PS2,2004,Action,95.0,9.0,18
12,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,77.0,7.9,6
14,Grand Theft Auto: Vice City,PS2,2002,Action,95.0,8.7,18
15,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,77.0,7.1,6
16,Gran Turismo 3: A-Spec,PS2,2001,Racing,95.0,8.4,6
18,Call of Duty: Black Ops,X360,2010,Shooter,87.0,6.3,18
21,Call of Duty: Modern Warfare 2,X360,2009,Shooter,94.0,6.3,18
23,Grand Theft Auto III,PS2,2001,Action,97.0,8.5,18
24,Super Smash Bros. Brawl,Wii,2008,Fighting,93.0,8.9,16
26,Call of Duty: Black Ops,PS3,2010,Shooter,88.0,6.4,18
28,Animal Crossing: Wild World,DS,2005,Simulation,86.0,8.7,6
29,Halo 3,X360,2007,Shooter,94.0,7.8,18
30,Gran Turismo 4,PS2,2004,Racing,89.0,8.5,6
31,Super Mario Galaxy,Wii,2007,Platform,97.0,8.9,6
32,Grand Theft Auto IV,X360,2008,Action,98.0,7.9,18
33,Gran Turismo,PS,1997,Racing,96.0,8.7,6
35,Gran Turismo 5,PS3,2010,Racing,84.0,7.5,6
36,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,94.0,6.3,18
37,Grand Theft Auto IV,PS3,2008,Action,98.0,7.5,18
41,Halo: Reach,X360,2010,Shooter,91.0,7.9,18
42,Final Fantasy VII,PS,1997,Role-Playing,92.0,9.2,16
44,Gran Turismo 2,PS,1999,Racing,93.0,9.0,16
45,Just Dance 2,Wii,2010,Misc,74.0,7.3,12
47,Call of Duty 4: Modern Warfare,X360,2007,Shooter,94.0,8.4,18
49,Mario Party DS,DS,2007,Misc,72.0,7.8,6
52,Halo 2,XB,2004,Shooter,95.0,8.2,18
53,Wii Party,Wii,2010,Misc,68.0,7.4,6
54,Mario Party 8,Wii,2007,Misc,62.0,6.3,6
56,Final Fantasy X,PS2,2001,Role-Playing,92.0,8.7,16
57,The Sims 3,PC,2009,Simulation,86.0,7.6,16
58,Final Fantasy VIII,PS,1999,Role-Playing,90.0,8.6,16
59,Pokémon Platinum Version,DS,2008,Role-Playing,83.0,8.5,6
60,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,88.0,7.6,18
63,Super Mario Galaxy 2,Wii,2010,Platform,97.0,9.1,6
64,Call of Duty: World at War,X360,2008,Shooter,84.0,7.6,18
66,Need for Speed Underground,PS2,2003,Racing,85.0,8.6,6
67,Just Dance,Wii,2009,Misc,49.0,8.0,12
70,Tekken 3,PS,1998,Fighting,96.0,9.1,16
71,The Legend of Zelda: Twilight Princess,Wii,2006,Action,95.0,9.0,16
72,Crash Bandicoot 3: Warped,PS,1998,Platform,91.0,8.9,6
74,Super Smash Bros. Melee,GC,2001,Fighting,92.0,9.1,16
75,Need for Speed Underground 2,PS2,2004,Racing,82.0,8.6,6
76,Medal of Honor: Frontline,PS2,2002,Shooter,88.0,8.5,16
78,Gears of War 2,X360,2008,Shooter,93.0,7.7,18
80,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,94.0,8.4,18
81,Uncharted 2: Among Thieves,PS3,2009,Action,96.0,8.8,16
82,Big Brain Academy,DS,2005,Misc,74.0,7.4,6
83,Red Dead Redemption,PS3,2010,Action,95.0,8.8,18
86,Donkey Kong Country Returns,Wii,2010,Platform,87.0,8.6,6
87,Halo: Combat Evolved,XB,2001,Shooter,97.0,8.6,18
89,Pokémon Emerald Version,GBA,2004,Role-Playing,76.0,9.0,6
90,Kingdom Hearts,PS2,2002,Role-Playing,85.0,8.8,6
91,Halo 3: ODST,X360,2009,Shooter,83.0,7.1,18
92,Red Dead Redemption,X360,2010,Action,95.0,9.0,18
93,Super Mario Sunshine,GC,2002,Platform,92.0,8.6,6
94,World of Warcraft,PC,2004,Role-Playing,93.0,7.3,16
95,Driver,PS,1999,Action,87.0,8.1,16
97,Kinect Sports,X360,2010,Sports,73.0,7.4,12
98,Gears of War,X360,2006,Shooter,94.0,8.3,18
100,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,96.0,8.7,18
101,Metal Gear Solid,PS,1998,Action,94.0,9.4,18
102,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,94.0,8.7,18
103,Final Fantasy XII,PS2,2006,Role-Playing,92.0,7.6,16
105,LittleBigPlanet,PS3,2008,Platform,95.0,6.8,6
106,Resident Evil 2,PS,1998,Action,89.0,9.2,18
107,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,87.0,8.8,12
108,Tekken 2,PS,1996,Fighting,89.0,8.9,16
110,LEGO Star Wars: The Complete Saga,Wii,2007,Action,80.0,8.9,12
111,Cooking Mama,DS,2006,Simulation,67.0,7.2,6
112,Assassin's Creed II,PS3,2009,Action,91.0,8.6,18
113,Assassin's Creed,X360,2007,Adventure,81.0,7.7,18
114,Forza Motorsport 3,X360,2009,Racing,92.0,8.0,6
115,Super Mario Advance,GBA,2001,Platform,84.0,7.8,6
116,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,81.0,8.7,16
119,Mario Kart: Super Circuit,GBA,2001,Racing,93.0,8.3,6
120,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,66.0,7.1,6
121,Call of Duty: World at War,PS3,2008,Shooter,85.0,7.6,18
123,Final Fantasy XIII,PS3,2009,Role-Playing,83.0,7.3,16
